 Pulsar     PTA      raw_Tobs  mf_Tobs  TOAerr   cadence      FoM   
J0023+0923 EPTA          7.89     2.30     1.85    30.03     0.89
J0030+0451 EPTA          7.89    15.07     1.62     7.36     2.76
J0034-0534 EPTA          7.89    13.51     4.92    30.47     1.72
J0218+4232 EPTA          7.89    17.57     7.25     8.27     2.08
J0340+4130 EPTA          7.89     1.68     5.12    14.98     0.65
J0437-4715 EPTA          7.89    18.58     0.14     6.70     5.44
J0610-2100 EPTA          7.89     6.90     4.99    10.08     1.39
J0613-0200 EPTA          7.89    16.05     1.16     5.14     3.21
J0621+1002 EPTA          7.89    11.77     7.63     8.77     1.67
J0645+5158 EPTA          7.89     2.42     0.98    19.18     1.11
J0711-6830 EPTA          7.89    17.10     1.77    22.96     2.52
J0751+1807 EPTA          7.89    17.61     2.93    10.63     2.49
J0900-3144 EPTA          7.89     6.86     3.21     3.82     1.72
J0931-1902 EPTA          7.89     0.64     4.49    14.71     0.42
J1012+5307 EPTA          7.89    16.83     2.12     6.51     2.78
J1022+1001 EPTA          7.89    17.54     1.31     8.10     3.09
J1024-0719 EPTA          7.89    18.20     2.38     8.79     2.72
J1045-4509 EPTA          7.89    17.01     3.39    20.99     2.19
J1455-3330 EPTA          7.89     9.68     4.36     6.47     1.79
J1600-3053 EPTA          7.89    12.30     0.96     5.91     2.88
J1603-7202 EPTA          7.89    15.31     1.45    23.60     2.49
J1614-2230 EPTA          7.89     5.09     1.58    18.61     1.45
J1640+2224 EPTA          7.89    17.25     0.72    12.83     3.34
J1643-1224 EPTA          7.89    20.14     1.78     7.86     3.10
J1713+0747 EPTA          7.89    22.46     0.24     5.72     5.38
J1721-2457 EPTA          7.89    12.76    10.69    31.93     1.39
J1730-2304 EPTA          7.89    20.28     1.70    16.46     2.88
J1732-5049 EPTA          7.89     8.04     3.05    21.90     1.53
J1738+0333 EPTA          7.89     7.33     1.93    17.16     1.68
J1741+1351 EPTA          7.89     4.25     0.66    37.85     1.49
J1744-1134 EPTA          7.89    19.88     0.58     8.70     3.94
J1747-4036 EPTA          7.89     1.67     4.18    14.86     0.68
J1751-2857 EPTA          7.89     8.31     2.62    21.53     1.62
J1801-1417 EPTA          7.89     7.05     2.44    20.77     1.52
J1802-2124 EPTA          7.89     7.24     3.00    26.17     1.43
J1804-2717 EPTA          7.89     8.38     4.02    27.09     1.44
J1824-2452AEPTA          7.89     5.65     0.67    16.25     1.89
J1832-0836 EPTA          7.89     0.63     2.07    12.86     0.50
J1843-1113 EPTA          7.89    10.06     1.25    17.92     2.16
J1853+1303 EPTA          7.89     8.40     1.65    21.15     1.82
J1857+0943 EPTA          7.89    28.32     0.84    13.74     4.10
J1903+0327 EPTA          7.89     3.99     1.87    38.32     1.13
J1909-3744 EPTA          7.89    10.82     0.23     4.85     3.85
J1910+1256 EPTA          7.89     9.47     1.39    19.10     2.03
J1911+1347 EPTA          7.89     7.48     1.29    20.09     1.82
J1911-1114 EPTA          7.89     8.79     4.92    24.90     1.42
J1918-0642 EPTA          7.89    12.80     2.33    11.57     2.22
J1923+2515 EPTA          7.89     2.20     2.40    33.45     0.81
J1939+2134 EPTA          7.89    29.44     0.06     5.68     8.60
J1944+0907 EPTA          7.89     5.71     2.23    43.46     1.29
J1949+3106 EPTA          7.89     1.25     4.87    21.66     0.54
J1955+2908 EPTA          7.89     8.13     3.10    15.30     1.60
J2010-1323 EPTA          7.89     7.38     2.63     6.54     1.75
J2017+0603 EPTA          7.89     1.67     0.91    22.57     0.92
J2019+2425 EPTA          7.89     9.14    11.89    26.49     1.17
J2033+1734 EPTA          7.89     7.92    15.28    15.30     1.09
J2043+1711 EPTA          7.89     2.28     0.65    23.82     1.16
J2124-3358 EPTA          7.89    20.00     2.71     9.69     2.73
J2129-5721 EPTA          7.89    15.42     1.46    25.36     2.48
J2145-0750 EPTA          7.89    19.83     1.44     7.77     3.23
J2214+3000 EPTA          7.89     2.07     1.93    27.96     0.84
J2229+2643 EPTA          7.89     8.23     4.36    10.89     1.55
J2302+4442 EPTA          7.89     1.68     6.43    14.63     0.62
J2317+1439 EPTA          7.89    17.35     0.75    12.30     3.33
J2322+2057 EPTA          7.89     7.89     6.07    13.73     1.37
