 Pulsar     PTA      raw_Tobs  mf_Tobs  TOAerr   cadence      FoM   
J2019+2425 EPTA          9.14     9.14    11.89    26.49     1.17
J2033+1734 EPTA          7.92     7.92    15.28    15.30     1.09
J2043+1711 NANOGrav      2.28     2.28     0.65    23.82     1.16
J2124-3358 PPTA         20.00    16.78     2.48    17.66     2.39
J2124-3358 EPTA         20.00     9.39     3.05     7.55     1.88
J2129-5721 PPTA         15.42    15.42     1.46    25.36     2.48
J2145-0750 PPTA         19.83    16.70     1.04    20.00     2.87
J2145-0750 EPTA         19.83    17.52     1.26    10.87     3.02
J2145-0750 NANOGrav     19.83     9.09     1.52    27.43     1.87
J2214+3000 NANOGrav      2.07     2.07     1.93    27.96     0.84
J2229+2643 EPTA          8.23     8.23     4.36    10.89     1.55
J2302+4442 NANOGrav      1.68     1.68     6.43    14.63     0.62
J2317+1439 EPTA         17.35    17.35     3.04    14.08     2.37
J2317+1439 NANOGrav     17.35     8.88     0.65    40.54     2.15
J2322+2057 EPTA          7.89     7.89     6.07    13.73     1.37
